"月份","复购用户数","总用户数","复购率"
"1","19","488","0.03893442622950819672"
"2","34","759","0.04479578392621870883"
"3","49","1251","0.03916866506794564349"
"4","76","1237","0.06143896523848019402"
"5","47","1060","0.04433962264150943396"
"6","91","1356","0.06710914454277286136"
"7","59","857","0.06884480746791131855"
"8","117","1524","0.07677165354330708661"
"9","24","634","0.03785488958990536278"
"10","63","862","0.07308584686774941995"
"11","71","944","0.07521186440677966102"
"12","19","313","0.06070287539936102236"
